wavelength  flux  uncertainty 
 0.687620730203  1.146856803654e-23  5.347190692336e-26 
 0.687741041534  1.083181956090e-23  4.911376814415e-26 
 0.687861352865  1.063920144435e-23  4.786177451462e-26 
 0.687981664196  1.050963012786e-23  4.648311192194e-26 
 0.688101975527  1.066749485370e-23  4.600290537418e-26 
 0.688222286858  1.063786074433e-23  4.616260670175e-26 
 0.688342598189  1.067582982292e-23  4.648142609007e-26 
 0.688462909519  1.066434045592e-23  4.648693554092e-26 
 0.688583220850  1.058846230394e-23  4.640937469806e-26 
 0.688703532181  1.057106666639e-23  4.651570298250e-26 
 0.688823843512  1.064038398040e-23  4.699023365372e-26 
 0.688944095253  1.054316646390e-23  4.657897140938e-26 
 0.689064406584  1.062912170190e-23  4.628619332749e-26 
 0.689184717915  1.054526479967e-23  4.613161655975e-26 
 0.689304969656  1.058357271076e-23  4.629044813289e-26 
 0.689425280987  1.063164357787e-23  4.618164081258e-26 
 0.689545592318  1.051589126463e-23  4.564946782839e-26 
 0.689665844059  1.061802310457e-23  4.570429214008e-26 
 0.689786155390  1.062808612990e-23  4.542705141058e-26 
 0.689906407132  1.057572095129e-23  4.494424788945e-26 
 0.690026718462  1.058027032066e-23  4.522514751227e-26 
 0.690146970204  1.065854747932e-23  4.600764445914e-26 
 0.690267221945  1.051169060263e-23  4.437297809106e-26 
 0.690387533276  1.049916340584e-23  4.437166692746e-26 
 0.690507785017  1.058619854577e-23  4.451283557136e-26 
 0.690628036758  1.050511908783e-23  4.400403461626e-26 
 0.690748348089  1.064433526297e-23  4.451501190074e-26 
 0.690868599831  1.064769568794e-23  4.471594096399e-26 
 0.690988851572  1.066240591272e-23  4.424919372848e-26 
 0.691109103313  1.061199343631e-23  4.382498585943e-26 
 0.691229355055  1.058816023874e-23  4.339681202551e-26 
 0.691349606796  1.062044360507e-23  4.334731753836e-26 
 0.691469858537  1.056079704828e-23  4.313647330114e-26 
 0.691590110278  1.053577924877e-23  4.340366932859e-26 
 0.691710362020  1.055173915328e-23  4.254215068096e-26 
 0.691830613761  1.051816755333e-23  4.262019750566e-26 
 0.691950865502  1.053084325569e-23  4.340277150673e-26 
 0.692071117244  1.048241899011e-23  4.245845314881e-26 
 0.692191368985  1.051649251026e-23  4.221061420610e-26 
 0.692311561137  1.057272985918e-23  4.252669358515e-26 
 0.692431812878  1.057280949663e-23  4.299048285560e-26 
 0.692552064619  1.054213914132e-23  4.181435690887e-26 
 0.692672316360  1.052279780855e-23  4.171182782729e-26 
 0.692792508512  1.051603273059e-23  4.194673885006e-26 
 0.692912760254  1.051434339810e-23  4.189090068470e-26 
 0.693032952405  1.041085085225e-23  4.199955618778e-26 
 0.693153204147  1.043283427114e-23  4.209221293582e-26 
 0.693273396298  1.054260247606e-23  4.535880054324e-26 
 0.693393648040  1.037651049296e-23  4.200138374672e-26 
 0.693513840191  1.038970772116e-23  4.147050290846e-26 
 0.693634091933  1.056384676198e-23  4.148888416821e-26 
 0.693754284084  1.047534216303e-23  4.138063326849e-26 
 0.693874476236  1.042924037306e-23  4.128694991318e-26 
 0.693994727977  1.053297111332e-23  4.171454165998e-26 
 0.694114920129  1.044197805453e-23  4.269172057702e-26 
 0.694235112281  1.045431419980e-23  4.152135684972e-26 
 0.694355304433  1.050558683267e-23  4.139863522122e-26 
 0.694475556174  1.051230799803e-23  4.128640712593e-26 
 0.694595748326  1.043703928987e-23  4.097271409051e-26 
 0.694715940477  1.053556986250e-23  4.145639911063e-26 
 0.694836132629  1.038354573716e-23  4.110194954573e-26 
 0.694956324781  1.053108980958e-23  4.114864825027e-26 
 0.695076516932  1.040798861732e-23  4.063636800740e-26 
 0.695196709084  1.046358305842e-23  4.058509267705e-26 
 0.695316901236  1.033190157344e-23  4.040758299712e-26 
 0.695437093388  1.053259444296e-23  4.067221671612e-26 
 0.695557285539  1.046759604835e-23  4.067222913026e-26 
 0.695677418102  1.047580913216e-23  4.100800549569e-26 
 0.695797610253  1.045731606938e-23  4.073534435421e-26 
 0.695917802405  1.052493381221e-23  4.076910647035e-26 
 0.696037994557  1.050601647923e-23  4.047442016563e-26 
 0.696158127119  1.043209129137e-23  4.044436237523e-26 
 0.696278319271  1.046480113900e-23  4.009563275691e-26 
 0.696398511422  1.058263553236e-23  4.042901577673e-26 
 0.696518643985  1.048183135178e-23  3.989798003201e-26 
 0.696638836136  1.056731030884e-23  3.990588607923e-26 
 0.696758968698  1.060435736402e-23  4.007967799561e-26 
 0.696879160850  1.058216164386e-23  3.996097829511e-26 
 0.696999293412  1.047930107380e-23  4.008140875600e-26 
 0.697119485564  1.047952169610e-23  3.940629492037e-26 
 0.697239618126  1.051458585390e-23  3.933741451022e-26 
 0.697359750688  1.042372314704e-23  3.916269041905e-26 
 0.697479942840  1.047600403623e-23  3.926922494592e-26 
 0.697600075402  1.048303874258e-23  3.914055659740e-26 
 0.697720207964  1.047683322916e-23  3.912683508366e-26 
 0.697840400116  1.042362189234e-23  3.883037716674e-26 
 0.697960532678  1.047941682882e-23  3.904385928038e-26 
 0.698080665241  1.031996557254e-23  3.892438993996e-26 
 0.698200797803  1.041095285651e-23  3.883252595513e-26 
 0.698320930365  1.035734334672e-23  3.876670555599e-26 
 0.698441062927  1.049450298230e-23  4.069540094477e-26 
 0.698561195489  1.034502476017e-23  3.867907850258e-26 
 0.698681328051  1.028508501585e-23  3.878520092382e-26 
 0.698801460614  1.033273042779e-23  3.876089156876e-26 
 0.698921593176  1.033250258266e-23  3.873101327770e-26 
 0.699041725738  1.033756098357e-23  3.887421813691e-26 
