1405
55759	1797	513	6055	201800	115	417	147	975	142	199	206	74	136	45	29	5
55761	9047	2379	6097	154200	641	1852	1147	4055	1350	806	1094	487	479	230	104	86
55762	4815	2767	6097	154100	243	925	588	2509	549	290	594	271	269	101	75	34
55769	4576	1719	6097	154301	164	654	373	2561	822	606	968	226	159	57	27	16
55811	3436	1734	6097	154000	168	629	339	1853	445	209	488	189	145	79	39	26
55833	1421	1040	6055	201900	45	179	164	775	256	116	326	75	36	13	0	7
55894	4787	2188	6097	153901	175	914	564	2268	863	601	635	261	266	110	59	26
55913	6116	3702	6055	201700	283	993	1547	2585	706	435	719	317	312	131	34	14
55934	4466	692	6097	153903	192	974	443	2234	622	394	641	285	263	94	35	21
55940	4996	4129	6097	153902	381	1213	851	2081	468	378	436	246	230	109	70	125
55951	11193	2330	6097	153802	891	2672	806	5509	1313	682	1194	646	825	385	166	6
55968	5631	2625	6055	202000	377	1012	762	2384	1093	691	739	271	235	146	64	53
55970	6231	1245	6097	153801	425	1601	835	3021	347	238	509	296	365	199	98	105
55988	8420	1536	6097	152600	440	1671	566	4619	1121	552	1293	519	537	193	65	36
56012	4453	1087	6097	153704	184	725	492	2646	404	712	743	247	190	81	31	18
56025	9141	2474	6097	153803	695	1924	1108	4098	1313	763	969	474	491	241	118	147
56038	2418	3732	6055	201500	82	360	208	1319	448	217	465	148	70	45	29	13
56040	5943	913	6097	152701	334	1229	603	2903	873	538	776	343	363	156	54	32
56047	3952	1144	6097	153705	138	856	289	2273	394	511	591	258	194	75	43	0
56062	3154	1501	6095	253300	129	777	389	1541	315	144	345	150	113	82	23	56
56065	4426	644	6097	153703	185	707	440	2615	477	792	742	263	130	55	46	0
56069	4563	723	6095	252903	196	986	377	2528	475	197	657	249	289	110	48	30
56070	5038	6887	6097	152702	218	1071	641	2576	530	365	615	266	299	103	28	37
56079	6456	5484	6055	201600	389	1356	694	2922	1093	819	836	330	323	159	62	47
56081	6994	1220	6097	151600	23	556	117	1785	4511	1658	1966	176	92	64	0	0
56086	7959	3222	6055	201400	327	1359	495	4305	1471	581	1445	483	405	173	37	23
56087	7747	8682	6097	152400	203	1601	378	4389	1173	495	1337	457	431	187	30	21
56089	4944	972	6097	153706	234	846	449	2824	590	540	774	317	224	107	23	34
56093	8708	1315	6097	152901	570	1713	1232	4151	1040	657	1111	534	507	264	91	49
56094	6073	5605	6097	152801	434	1414	704	3098	422	437	618	376	429	167	15	69
56106	6033	2700	6095	253402	498	1475	999	2465	595	296	495	387	348	208	107	56
56108	4039	611	6097	152502	212	851	462	1875	636	450	598	248	231	78	43	9
56115	6702	870	6097	152202	322	1288	798	3039	1253	918	949	397	353	144	67	10
56120	6682	3596	6097	152802	586	1087	1743	2437	826	1208	854	409	253	123	82	49
56121	3491	8442	6097	152100	146	374	884	1703	383	394	406	174	103	50	33	0
56123	4032	565	6097	152501	264	969	493	1948	355	284	471	285	254	98	64	0
56130	11575	2126	6095	253401	1155	2737	1435	5564	682	420	1056	735	799	423	126	120
56131	4587	1881	6097	152300	212	617	335	2147	1274	657	892	283	198	65	22	0
56133	4845	608	6097	152904	226	1086	762	2366	403	393	558	349	292	108	26	58
56136	5581	466	6097	152903	403	1499	994	2339	343	256	362	286	252	164	70	171
56137	4275	788	6097	152201	248	697	993	2046	289	603	692	269	187	57	23	24
56141	7713	2904	6097	151700	490	1215	1070	3400	1536	1107	1027	496	362	139	54	30
56142	5432	6187	6097	153001	304	891	1189	2460	585	706	664	345	240	122	58	55
56145	6671	1552	6097	150500	265	1037	596	4034	737	656	889	346	298	118	10	37
56146	3744	4311	6095	252904	177	798	336	2058	373	250	442	219	197	107	55	34
56147	3871	1843	6097	152203	137	487	721	1894	630	903	665	241	119	43	17	6
56149	7221	2405	6097	153006	444	1403	1014	3325	1032	680	934	490	389	126	53	64
