Reference,Set,SetID,Mineral,Mineral_formula,Mineral_source,Temp,Electrolyte1,Electrolyte1_val,Electrolyte1_SD,Electrolyte1_units,Electrolyte2,Electrolyte2_val,Electrolyte2_SD,Electrolyte2_units,Electrolyte3,Electrolyte3_val,Electrolyte3_SD,Electrolyte3_units,Electrolyte4,Electrolyte4_val,Electrolyte4_SD,Electrolyte4_units,Electrolyte5,Electrolyte5_val,Electrolyte5_SD,Electrolyte5_units,Electrolyte6,Electrolyte6_val,Electrolyte6_SD,Electrolyte6_units,Electrolyte7,Electrolyte7_val,Electrolyte7_SD,Electrolyte7_units,pH,pH_SD,Sorbate,Sorbate_val,Sorbate_SD,Sorbate_units,Aq_val,Aq_SD,Aq_units,Sorbed_val,Sorbed_SD,Sorbed_units,SurfCharge_val,SurfCharge_SD,SurfCharge_units,Mineral_val,Mineral_SD,Mineral_units,MineralSA,MineralSA_SD,MineralSA_units,Mineralsites,Mineralsites_SD,Mineralsites_units,CEC,CEC_SD,CEC_units,Gas1,Gas1_val,Gas1_SD,Gas1_units,Gas2,Gas2_val,Gas2_SD,Gas2_units,Gas3,Gas3_val,Gas3_SD,Gas3_units,X_axis,X_val,X_SD,X_units,Y_axis,Y_val,Y_SD,Y_units
mp13,mp13_f1c,47,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.1,0.005,mol/L,N(+5),0.1,0.005,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.54801,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,-0.00138777,-0.000138777,mol/L,4.17,0.417,g/L,300,30,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mp13,mp13_f1c,48,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.1,0.005,mol/L,N(+5),0.1,0.005,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.64106,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,-0.00150107,-0.000150107,mol/L,4.17,0.417,g/L,300,30,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mp13,mp13_f1c,49,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.1,0.005,mol/L,N(+5),0.1,0.005,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75185,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,-0.00159392,-0.000159392,mol/L,4.17,0.417,g/L,300,30,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mp13,mp13_f1c,50,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.1,0.005,mol/L,N(+5),0.1,0.005,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.83604,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,-0.00169587,-0.000169587,mol/L,4.17,0.417,g/L,300,30,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mp13,mp13_f1c,51,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.1,0.005,mol/L,N(+5),0.1,0.005,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.93353,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,-0.00178507,-0.000178507,mol/L,4.17,0.417,g/L,300,30,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,1,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05268,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.000224359,2.24E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,2,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.27395,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.000213395,2.13E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,3,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41092,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.00020487,2.05E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,4,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59004,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.000194518,1.95E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,5,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8113,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.000180514,1.81E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
