CAD,mean,su
-311.75,0.205169021,0.030886371
-311.5,0.205386955,0.030886947
-311.25,0.205607308,0.030880046
-311,0.205800888,0.030894683
-310.75,0.205935706,0.030873543
-310.5,0.205987947,0.030900946
-310.25,0.205952932,0.030882864
-310,0.205850265,0.030888354
-309.75,0.205719615,0.030888177
-309.5,0.205608112,0.030887552
-309.25,0.205554564,0.030888377
-309,0.205577349,0.030886733
-308.75,0.205670881,0.030888034
-308.5,0.205811333,0.030897363
-308.25,0.205967995,0.03088012
-308,0.206114696,0.030894835
-307.75,0.206236664,0.030887669
-307.5,0.20633123,0.030876547
-307.25,0.206403905,0.030894933
-307,0.206463,0.030887458
-306.75,0.206515643,0.030888474
-306.5,0.206566374,0.030888423
-306.25,0.206617712,0.030888287
-306,0.206671149,0.030888992
-305.75,0.206727211,0.030883594
-305.5,0.206784266,0.030895337
-305.25,0.20683695,0.030882361
-305,0.206875704,0.030895583
-304.75,0.20688871,0.03089198
-304.5,0.206866329,0.030889626
-304.25,0.206806628,0.030889417
-304,0.206719418,0.030888685
-303.75,0.206626279,0.030888543
-303.5,0.206555494,0.03088792
-303.25,0.206533165,0.03088813
-303,0.206573888,0.030887936
-302.75,0.206674912,0.030889649
-302.5,0.206816346,0.030882232
-302.25,0.20696722,0.030904911
-302,0.207094599,0.030889657
-301.75,0.207171908,0.030883588
-301.5,0.207183599,0.030888923
-301.25,0.207125616,0.030894106
-301,0.207003233,0.030889171
-300.75,0.206828558,0.030882041
-300.5,0.206619081,0.030889877
-300.25,0.206397031,0.030887414
-300,0.206188133,0.030888439
-299.75,0.206018574,0.030886278
-299.5,0.205910167,0.03088729
-299.25,0.205875082,0.030894026
-299,0.205912119,0.030880956
-298.75,0.206006039,0.030886662
-298.5,0.20613044,0.030888456
-298.25,0.206253517,0.03089514
-298,0.206345358,0.030881521
-297.75,0.206385002,0.030887174
-297.5,0.20636533,0.030889652
-297.25,0.206294093,0.030887015
-297,0.206190243,0.030887539
-296.75,0.206076475,0.030886804
-296.5,0.205970785,0.030887559
-296.25,0.205880867,0.030901453
-296,0.205804247,0.030873427
-295.75,0.205734185,0.030886883
-295.5,0.20566792,0.030887533
-295.25,0.205611968,0.030896475
-295,0.205580371,0.030887514
-294.75,0.205585829,0.030880365
-294.5,0.205628351,0.03087951
-294.25,0.205688489,0.030893299
-294,0.20573063,0.030887657
-293.75,0.20571662,0.03088808
-293.5,0.205624084,0.030902162
-293.25,0.20546043,0.030874337
-293,0.205264915,0.030894099
-292.75,0.205096549,0.030879935
-292.5,0.205012415,0.030887012
-292.25,0.205045489,0.030887363
-292,0.20519128,0.030887308
-291.75,0.20540856,0.030886128
-291.5,0.205633484,0.030887148
-291.25,0.205801235,0.030888011
-291,0.205867091,0.030887272
-290.75,0.205819839,0.030887472
-290.5,0.205683728,0.03089377
-290.25,0.205509126,0.030888476
-290,0.205355388,0.030880103
-289.75,0.205271484,0.030886009
-289.5,0.205280416,0.030894196
-289.25,0.205372345,0.030886517
-289,0.205508805,0.030881793
-288.75,0.205636757,0.03088688
-288.5,0.205707761,0.030886672
-288.25,0.205695355,0.03088602
-288,0.20560413,0.030896537
-287.75,0.205467056,0.030880746
-287.5,0.205332218,0.03088659
-287.25,0.205244352,0.030894152
-287,0.205228496,0.030880438
-286.75,0.205281888,0.030886543
-286.5,0.205376659,0.030886487
-286.25,0.205471535,0.030885383
-286,0.205527635,0.030886913
-285.75,0.205522516,0.030889722
-285.5,0.205457894,0.030893226
-285.25,0.205359004,0.030879471
-285,0.205266237,0.030887592
-284.75,0.205221832,0.03088564
-284.5,0.205255601,0.030888135
-284.25,0.205374031,0.030902535
-284,0.205556447,0.030873267
-283.75,0.205760151,0.030893987
-283.5,0.205933672,0.030881891
-283.25,0.20603419,0.030895157
-283,0.206042931,0.030882247
-282.75,0.205972375,0.030888558
-282.5,0.205861744,0.030888169
-282.25,0.205761972,0.03088815
-282,0.205715947,0.030894588
-281.75,0.205742203,0.030880783
-281.5,0.205828913,0.030894049
-281.25,0.205940516,0.030887385
-281,0.206033652,0.030888611
-280.75,0.206075126,0.03088054
-280.5,0.206054178,0.030886554
-280.25,0.205984518,0.03088643
-280,0.205896477,0.030894363
-279.75,0.20582378,0.030880379
-279.5,0.205790929,0.030886578
-279.25,0.205805806,0.030895543
-279,0.205859117,0.030880747
-278.75,0.20592942,0.030887636
-278.5,0.205990987,0.030894355
-278.25,0.20602175,0.030888784
-278,0.206009388,0.03088009
-277.75,0.205954452,0.030887553
-277.5,0.205869992,0.030885861
-277.25,0.205777721,0.030887409
-277,0.205701521,0.030887591
-276.75,0.205660137,0.03089229
-276.5,0.205661551,0.030887023
-276.25,0.205701298,0.030881475
-276,0.205765527,0.030895321
-275.75,0.205837613,0.030880416
-275.5,0.205905441,0.030894599
-275.25,0.205966149,0.030879869
-275,0.206026327,0.030888745
-274.75,0.206097811,0.030888382
-274.5,0.20619117,0.030894167
-274.25,0.206309824,0.030880469
-274,0.206447121,0.030887246
-273.75,0.206587154,0.030890381
-273.5,0.206708611,0.030889393
-273.25,0.206790164,0.030895441
-273,0.206815956,0.030881794
-272.75,0.206780161,0.03088796
-272.5,0.206689794,0.030888639
-272.25,0.20656483,0.030895622
-272,0.20643471,0.030880881
-271.75,0.206331042,0.030888817
-271.5,0.206277926,0.030895143
-271.25,0.206283131,0.030881316
-271,0.206334126,0.030887497
-270.75,0.206401672,0.030889021
-270.5,0.206450575,0.030894922
-270.25,0.20645358,0.030881085
-270,0.206402407,0.030889176
-269.75,0.206310886,0.030887941
-269.5,0.206208852,0.030888755
-269.25,0.206129972,0.030887855
-269,0.206099517,0.030886732
-268.75,0.206127648,0.03088025
-268.5,0.206210307,0.030903135
-268.25,0.206335506,0.030888334
-268,0.206490135,0.030876545
-267.75,0.206663006,0.030895447
-267.5,0.206843072,0.030888911
-267.25,0.207015438,0.030882949
-267,0.207159535,0.030897042
-266.75,0.207252492,0.030895223
-266.5,0.207277214,0.030883042
-266.25,0.207231298,0.030889257
-266,0.207131717,0.030903602
-265.75,0.207012076,0.030874884
-265.5,0.206912942,0.030888316
-265.25,0.206869191,0.030887517
-265,0.206899599,0.03089
-264.75,0.207002565,0.030886891
-264.5,0.207158837,0.030891757
-264.25,0.207339166,0.030891364
-264,0.207513404,0.030889498
-263.75,0.20765792,0.030889345
-263.5,0.207759807,0.030891119
-263.25,0.207817972,0.03089163
-263,0.207842002,0.030889692
-262.75,0.207849605,0.03088915
-262.5,0.207862847,0.03089175
-262.25,0.207903133,0.030890173
-262,0.20798529,0.030891154
-261.75,0.208112042,0.030890043
-261.5,0.208271068,0.03088355
-261.25,0.208436728,0.030898149
-261,0.208577204,0.030890686
-260.75,0.208665439,0.030884128
-260.5,0.208689993,0.030899127
-260.25,0.208661128,0.030884829
-260,0.208608776,0.030897975
-259.75,0.208572374,0.030891554
-259.5,0.208586267,0.030890476
-259.25,0.20866672,0.030890438
-259,0.208806131,0.030892217
-258.75,0.208976928,0.030891819
-258.5,0.209143269,0.030885442
-258.25,0.209275283,0.030899584
-258,0.209359703,0.030891558
-257.75,0.209402754,0.03089214
-257.5,0.209424839,0.030899818
-257.25,0.20945018,0.030893502
-257,0.209496355,0.030884522
-256.75,0.209568086,0.030886796
-256.5,0.209657254,0.030895234
-256.25,0.209748135,0.030891451
-256,0.209824827,0.030893935
-255.75,0.209877393,0.030900215
-255.5,0.209904527,0.030892859
-255.25,0.209912545,0.030891221
-255,0.209912286,0.030892782
-254.75,0.209916016,0.030886225
-254.5,0.209935695,0.030900427
-254.25,0.209982495,0.030885854
-254,0.210066376,0.030902942
-253.75,0.210194491,0.030886291
-253.5,0.210368311,0.030900811
-253.25,0.210580853,0.030895229
-253,0.210816103,0.030895619
-252.75,0.211052101,0.030895261
-252.5,0.211267236,0.030893718
-252.25,0.21144728,0.03089467
-252,0.211589756,0.030889101
-251.75,0.211703192,0.030903072
-251.5,0.211801343,0.030896244
-251.25,0.211895253,0.030896996
-251,0.211987506,0.030894636
-250.75,0.212072072,0.030889527
-250.5,0.212140163,0.030904774
-250.25,0.212188866,0.030894555
-250,0.212227231,0.030897363
-249.75,0.212275312,0.030896617
-249.5,0.212355377,0.030895878
-249.25,0.212479256,0.030890075
-249,0.212638813,0.03089633
-248.75,0.212805834,0.030904842
-248.5,0.212943098,0.030891391
-248.25,0.213022206,0.030898138
-248,0.21303944,0.030897733
-247.75,0.213021051,0.030897981
-247.5,0.213014327,0.030897398
-247.25,0.213068026,0.030904615
-247,0.213211402,0.030890012
-246.75,0.21344183,0.030899483
-246.5,0.21372665,0.030906531
-246.25,0.214017535,0.030891835
-246,0.214269722,0.03090657
-245.75,0.214456783,0.030892233
-245.5,0.214574969,0.030899195
-245.25,0.214637277,0.030906851
-245,0.214662552,0.030892007
-244.75,0.214666541,0.030907743
-244.5,0.214659294,0.030893569
-244.25,0.214648695,0.030900751
-244,0.214646005,0.030898859
-243.75,0.214668397,0.030899061
-243.5,0.214735609,0.030900321
-243.25,0.214861728,0.030906764
-243,0.21504628,0.030894288
-242.75,0.21526968,0.030900537
-242.5,0.215496324,0.030907925
-242.25,0.215685042,0.030893617
-242,0.215803137,0.030900299
-241.75,0.215838303,0.030902342
-241.5,0.215803363,0.03090224
-241.25,0.21573166,0.030900773
-241,0.215664889,0.030900717
-240.75,0.215638399,0.030899105
-240.5,0.215669958,0.030901797
-240.25,0.215756301,0.030910294
-240,0.215878194,0.030901591
-239.75,0.216011039,0.030910503
-239.5,0.216135917,0.030900621
-239.25,0.216246286,0.03089436
-239,0.216347913,0.030901572
-238.75,0.216452813,0.030903206
-238.5,0.216570512,0.030902753
-238.25,0.21670088,0.030902501
-238,0.216831978,0.03090225
-237.75,0.216944115,0.030903416
-237.5,0.217018599,0.030904414
-237.25,0.217047387,0.030902882
-237,0.21703909,0.030902876
