trial_number,value,state,duration,lr,batch_size,lambda1_metaweight
862,0.673819379737744,PRUNED,0:00:00.526748,0.011859743837936879,183,1.3074108431393676
863,0.6094819664955139,PRUNED,0:00:00.555845,0.010072185351260641,158,1.307242905196727
864,0.5833916121472915,PRUNED,0:00:00.566104,0.010510761082526915,158,1.4510993386484026
865,0.790725548673107,PRUNED,0:00:00.632600,0.004292076824549684,114,1.2736983554542587
866,0.7495826803227906,PRUNED,0:00:00.704832,0.004287831447431533,102,1.2647649180876495
867,0.6477097738534212,PRUNED,0:00:00.598364,0.006346231429966007,125,1.2648512045222837
868,1.0246986126658892,PRUNED,0:00:00.520815,0.004268268648701265,192,1.158996413557186
869,0.04508412821704279,PRUNED,0:00:02.759724,0.006503510256519681,103,1.2185115110965168
870,0.6522463321685791,PRUNED,0:00:00.494140,0.014597470800670056,190,1.2258997787205888
871,0.6352580587069193,PRUNED,0:00:00.495123,0.01617480218541599,191,1.157886657976049
872,0.05148903073763454,PRUNED,0:00:02.019173,0.01536557043403557,104,1.3943986255330143
873,1.0426264431450394,PRUNED,0:00:00.733233,0.0017572986619663095,104,1.3804876465431597
874,0.5526671839314837,PRUNED,0:00:00.667923,0.007567896385116825,110,1.3923166518708323
875,0.5955174350804024,PRUNED,0:00:00.814832,0.005637866624400622,104,1.391499633119742
876,0.5624972010941006,PRUNED,0:00:00.701706,0.0068509193092941775,110,1.3930985919741556
877,0.003706430589596432,COMPLETE,0:00:21.049894,0.008337520920317941,113,1.4308111876209642
878,0.0032355694116677947,COMPLETE,0:00:23.698935,0.009588980200187076,100,1.4139272959447955
879,0.6981384676127207,PRUNED,0:00:00.568835,0.008698222700108558,150,1.3597921126500099
880,0.7053676258240428,PRUNED,0:00:00.597007,0.008634199405697634,150,1.3654495227395462
881,0.6970032821926806,PRUNED,0:00:00.561679,0.009223124407156549,175,1.3717396084599074
882,1.7407616420383871,PRUNED,0:00:00.606741,0.00024771453124290536,138,1.410951529120482
883,0.7976117004518923,PRUNED,0:00:00.604126,0.005189557845800313,137,1.4270576822641525
884,0.9843843464391777,PRUNED,0:00:00.630650,0.0024388063920988403,114,1.4208301742709952
885,0.003443041175185061,COMPLETE,0:00:20.626343,0.011584287091906639,114,1.3497334654658437
886,0.6569941435725644,PRUNED,0:00:00.479790,0.011742776166140107,183,1.3574634712683735
887,0.9129397875070572,PRUNED,0:00:00.588596,0.003440663823459224,126,1.3461555357248602
888,0.5910948378787864,PRUNED,0:00:00.641408,0.006771173721182963,113,1.129816976259331
889,0.03886210432015552,PRUNED,0:00:04.218485,0.011563919355341828,98,1.3406676503722585
890,0.5435070219932426,PRUNED,0:00:00.739350,0.005400994642385246,99,1.3699443312420772
891,0.5716357849349704,PRUNED,0:00:00.650380,0.0076167218375769565,120,1.338701717702109
892,0.6105768046301344,PRUNED,0:00:00.535890,0.01163874343997423,165,1.379139735286145
893,0.594802575203979,PRUNED,0:00:00.654695,0.018787651075156175,184,1.3441082655377459
894,0.7110419712208826,PRUNED,0:00:00.568773,0.008632787628766717,174,1.1953074549544427
895,0.030848591398466286,PRUNED,0:00:07.898121,0.013611467049394801,94,0.9717992826193906
896,0.6474972870745506,PRUNED,0:00:00.675924,0.0055398409738595415,111,1.1752697535919254
897,0.06790565343633775,PRUNED,0:00:01.210137,0.013701811439856831,122,0.9701907538288577
898,0.6115531551617163,PRUNED,0:00:00.596217,0.009066288412751748,140,0.9332205234412891
899,0.8131816083582762,PRUNED,0:00:00.500445,0.00669929185487281,178,1.3787839847207397
900,0.07431710058370151,PRUNED,0:00:01.187596,0.02379450107388295,128,1.3590886920502527
901,0.003821641566481757,COMPLETE,0:00:22.731832,0.015023901757671206,108,0.9068060826346096
902,0.04464275923810796,PRUNED,0:00:02.907034,0.00965299010989157,87,1.3227767692346377
903,1.025490761069315,PRUNED,0:00:00.484314,0.003630584605816129,170,1.2161567365023758
904,0.6318694025703839,PRUNED,0:00:00.644395,0.00498810541147226,108,1.242441434613694
905,0.5471377555120942,PRUNED,0:00:00.633371,0.007530071799190748,116,1.331954903413911
906,0.6263135298166747,PRUNED,0:00:00.634945,0.006904297774689357,117,1.3579500290249262
907,1.7859775304794312,PRUNED,0:00:00.611446,0.00016705882186974371,135,1.2005947714763037
908,0.6008309249367033,PRUNED,0:00:00.507043,0.016325105259081762,180,1.2028049630972315
909,0.760225080834922,PRUNED,0:00:00.469462,0.011000112245745097,205,0.859078899833446
910,1.2680765830553495,PRUNED,0:00:00.568966,0.0012310376546410284,146,1.0221099033827117
911,0.6730672413227605,PRUNED,0:00:00.601780,0.005797405801558897,124,1.3837009287237996
