Algorithm,app,bwlevel,nodecount,power_cap,runtime,Thread_count,prediction,pred_runtime,Domain,node_count,config_node_count,config_runtime,pred_config_runtime
spr,f,4,4096,80,10.83,24,[9.472211],9.472211,,171,171,10.83,10.83
spr,f,5,4096,80,10.87,24,[10.824979],10.824979,,171,171,10.87,10.87
spr,f,1,4096,115,16.6,24,[21.246597],21.246597,,171,52,22.27,22.27
spr,f,2,4096,115,12.42,24,[14.339123],14.339123,,171,128,15.72,15.72
spr,f,3,4096,115,9.53,24,[6.8001537],6.8001537,,171,171,9.53,9.53
spr,f,4,4096,115,9.47,24,[4.003221],4.003221,,171,171,9.47,9.47
spr,f,5,4096,115,9.39,24,[9.891031],9.891031,,171,171,9.39,9.39
rand,f,1,4096,64,20.65,24,[20.53532],20.53532,,171,52,22.27,22.27
rand,f,2,4096,64,16.8,24,[16.566067],16.566067,,171,86,18.22,18.22
rand,f,3,4096,64,13.22,24,[14.7999],14.7999,,171,128,15.72,15.72
rand,f,4,4096,64,13.2,24,[11.516123],11.516123,,171,171,13.2,13.2
rand,f,5,4096,64,13.25,24,[13.020536],13.020536,,171,171,13.25,13.25
rand,f,1,4096,80,19.75,24,[14.463109],14.463109,,171,128,15.72,15.72
rand,f,2,4096,80,14.74,24,[11.952111],11.952111,,171,171,14.74,14.74
rand,f,3,4096,80,10.99,24,[9.340065],9.340065,,171,171,10.99,10.99
rand,f,4,4096,80,10.92,24,[9.610255],9.610255,,171,171,10.92,10.92
rand,f,5,4096,80,10.87,24,[10.5722475],10.5722475,,171,171,10.87,10.87
rand,f,1,4096,115,15.58,24,[3.2827141],3.2827141,,171,171,15.58,15.58
rand,f,2,4096,115,15.03,24,[5.5381684],5.5381684,,171,171,15.03,15.03
rand,f,3,4096,115,9.67,24,[8.093497],8.093497,,171,171,9.67,9.67
rand,f,4,4096,115,9.57,24,[7.4320774],7.4320774,,171,171,9.57,9.57
rand,f,5,4096,115,9.45,24,[9.048782],9.048782,,171,171,9.45,9.45
