Algorithm,app,bwlevel,nodecount,power_cap,runtime,Thread_count,prediction,pred_runtime,Domain,node_count,config_node_count,config_runtime,pred_config_runtime
pak,f,1,4096,64,20.18,24,[22.277054],22.277054,,171,43,24.27,24.27
pak,f,2,4096,64,16.43,24,[20.691511],20.691511,,171,52,22.27,22.27
pak,f,3,4096,64,13.54,24,[15.929306],15.929306,,171,103,16.68,16.68
pak,f,4,4096,64,13.46,24,[13.414982],13.414982,,171,171,13.46,13.46
pak,f,5,4096,64,13.55,24,[8.710338],8.710338,,171,171,13.55,13.55
pak,f,1,4096,80,17.24,24,[21.916954],21.916954,,171,52,22.27,22.27
pak,f,2,4096,80,14.47,24,[18.88748],18.88748,,171,64,19.92,19.92
pak,f,3,4096,80,11.64,24,[15.230673],15.230673,,171,103,16.68,16.68
pak,f,4,4096,80,11.57,24,[14.095085],14.095085,,171,128,15.04,15.04
pak,f,5,4096,80,11.05,24,[7.9705033],7.9705033,,171,171,11.05,11.05
pak,f,1,4096,115,17.31,24,[17.238905],17.238905,,171,86,18.22,18.22
pak,f,2,4096,115,13.3,24,[16.996437],16.996437,,171,86,18.22,18.22
pak,f,3,4096,115,9.69,24,[20.436333],20.436333,,171,52,22.27,22.27
pak,f,4,4096,115,10.18,24,[17.640827],17.640827,,171,86,18.22,18.22
pak,f,5,4096,115,9.57,24,[12.708257],12.708257,,171,171,9.57,9.57
rand,f,1,4096,64,21.87,24,[20.53532],20.53532,,171,52,22.27,22.27
rand,f,2,4096,64,16.44,24,[16.566067],16.566067,,171,86,18.22,18.22
rand,f,3,4096,64,13.7,24,[14.7999],14.7999,,171,128,15.72,15.72
rand,f,4,4096,64,13.56,24,[11.516123],11.516123,,171,171,13.56,13.56
rand,f,5,4096,64,13.81,24,[13.020536],13.020536,,171,171,13.81,13.81
rand,f,1,4096,80,16.12,24,[14.463109],14.463109,,171,128,15.72,15.72
rand,f,2,4096,80,14.34,24,[11.952111],11.952111,,171,171,14.34,14.34
