aCO2,U,flux_CO,flux_H2,flux_HCOO
1.200000000000000233e-01,-1.040000000000000036e+00,1.530653741923520687e-06,3.491642633671357804e-07,2.381016931881032697e-06
1.400000000000000133e-01,-1.040000000000000036e+00,1.597787677972798341e-06,3.124101303811213345e-07,2.485447499068797702e-06
1.600000000000000033e-01,-1.040000000000000036e+00,1.652134197631736749e-06,2.826567846305384712e-07,2.569986529649368606e-06
1.800000000000000211e-01,-1.040000000000000036e+00,1.697029148654338116e-06,2.580779337931003594e-07,2.639823120128971062e-06
2.000000000000000111e-01,-1.040000000000000036e+00,1.734740907513323713e-06,2.374316990896522152e-07,2.698485856131837311e-06
2.999999999999999889e-01,-1.040000000000000036e+00,1.858650972335704266e-06,1.695940707783229769e-07,2.891234845855540158e-06
3.999999999999999667e-01,-1.040000000000000036e+00,1.927489897237026348e-06,1.319064994942511895e-07,2.998317617924263726e-06
5.000000000000000000e-01,-1.040000000000000036e+00,1.971296485810595216e-06,1.079234995862056186e-07,3.066461200149814780e-06
5.999999999999999778e-01,-1.040000000000000036e+00,2.001624124053835168e-06,9.131988426525095077e-08,3.113637526305966193e-06
6.999999999999999556e-01,-1.040000000000000036e+00,2.023864392098877348e-06,7.914389969655087518e-08,3.148233498820476722e-06
7.999999999999999334e-01,-1.040000000000000036e+00,2.040871655898027724e-06,6.983285267342715872e-08,3.174689242508043596e-06
8.999999999999999112e-01,-1.040000000000000036e+00,2.054298443107883128e-06,6.248202607622434101e-08,3.195575355945596682e-06
1.000000000000000000e+00,-1.040000000000000036e+00,2.065167747039670936e-06,5.653135692610774718e-08,3.212483162061711286e-06
0.000000000000000000e+00,-1.159999999999999920e+00,0.000000000000000000e+00,1.796837094462320940e-06,0.000000000000000000e+00
1.000000000000000048e-04,-1.159999999999999920e+00,9.431018036251609883e-09,1.793250593275769232e-06,1.145195047259124435e-08
1.778279410038922698e-04,-1.159999999999999920e+00,1.674497267967523428e-08,1.790469185488593565e-06,2.033318111103422275e-08
3.162277660168379394e-04,-1.159999999999999920e+00,2.969533485592864887e-08,1.785544320629586183e-06,3.605862089648479879e-08
5.623413251903490971e-04,-1.159999999999999920e+00,5.254956498734295313e-08,1.776853135524333110e-06,6.381018605605932717e-08
1.000000000000000021e-03,-1.159999999999999920e+00,9.264588306200112461e-08,1.761604994570902650e-06,1.124985722895728405e-07
1.778279410038922752e-03,-1.159999999999999920e+00,1.622739047282149078e-07,1.735126306759765307e-06,1.970468843128324883e-07
3.162277660168379394e-03,-1.159999999999999920e+00,2.810559099349003200e-07,1.689954958239678349e-06,3.412821763495219533e-07
5.623413251903490971e-03,-1.159999999999999920e+00,4.776817685292587244e-07,1.615180541263198381e-06,5.800421474998143998e-07
1.000000000000000021e-02,-1.159999999999999920e+00,7.874900060270093806e-07,1.497364245385267486e-06,9.562378644613688663e-07
2.000000000000000042e-02,-1.159999999999999920e+00,1.349982867474873345e-06,1.283455067473086356e-06,1.639264910505203801e-06
4.000000000000000777e-02,-1.159999999999999920e+00,2.099973349405358630e-06,9.982428302568451316e-07,2.549967638563650734e-06
6.000000000000001166e-02,-1.159999999999999920e+00,2.577240019724758743e-06,8.167441338465094317e-07,3.129505738237208315e-06
8.000000000000001554e-02,-1.159999999999999920e+00,2.907655406868958755e-06,6.910911901778154613e-07,3.530724422626594529e-06
1.000000000000000194e-01,-1.159999999999999920e+00,3.149960024108037946e-06,5.989456981541069096e-07,3.824951457845476312e-06
1.200000000000000233e-01,-1.159999999999999920e+00,3.335251790232039904e-06,5.284814983712709645e-07,4.049948602424621728e-06
1.400000000000000133e-01,-1.159999999999999920e+00,3.481534763487831302e-06,4.728518669637684819e-07,4.227577927092368154e-06
1.600000000000000033e-01,-1.159999999999999920e+00,3.599954313266328778e-06,4.278183558243622068e-07,4.371373094680543752e-06
1.800000000000000211e-01,-1.159999999999999920e+00,3.697779158735522732e-06,3.906167596657220863e-07,4.490160407035992827e-06
2.000000000000000111e-01,-1.159999999999999920e+00,3.779952028929646043e-06,3.593674188924641140e-07,4.589941749414571405e-06
2.999999999999999889e-01,-1.159999999999999920e+00,4.049948602424620881e-06,2.566910134946171335e-07,4.917794731515612885e-06
3.999999999999999667e-01,-1.159999999999999920e+00,4.199946698810717261e-06,1.996485660513688728e-07,5.099935277127301467e-06
5.000000000000000000e-01,-1.159999999999999920e+00,4.295400032874596775e-06,1.633488267693019446e-07,5.215842897062012306e-06
5.999999999999999778e-01,-1.159999999999999920e+00,4.361483110303437286e-06,1.382182380355632511e-07,5.296086633939889887e-06
6.999999999999999556e-01,-1.159999999999999920e+00,4.409944033751252870e-06,1.197891396308215566e-07,5.354932040983665651e-06
7.999999999999999334e-01,-1.159999999999999920e+00,4.447002386976052923e-06,1.056962996742541955e-07,5.399931469899495073e-06
8.999999999999999112e-01,-1.159999999999999920e+00,4.476258981627211795e-06,9.457037339275382078e-08,5.435457334833044528e-06
1.000000000000000000e+00,-1.159999999999999920e+00,4.499942891582910867e-06,8.556367116487252342e-08,5.464216368350679478e-06
0.000000000000000000e+00,-1.280000000000000027e+00,0.000000000000000000e+00,2.719622995930880165e-06,0.000000000000000000e+00
1.000000000000000048e-04,-1.280000000000000027e+00,2.013286666628714030e-08,2.714194606717445283e-06,1.929399722185851207e-08
1.778279410038922698e-04,-1.280000000000000027e+00,3.574633204969604627e-08,2.709984775674677658e-06,3.425690154762538070e-08
3.162277660168379394e-04,-1.280000000000000027e+00,6.339211895970233906e-08,2.702530691070298241e-06,6.075078066971476090e-08
5.623413251903490971e-04,-1.280000000000000027e+00,1.121801889461831661e-07,2.689376050092001519e-06,1.075060144067589006e-07
1.000000000000000021e-03,-1.280000000000000027e+00,1.977758078394089873e-07,2.666297054834196057e-06,1.895351491794336536e-07
1.778279410038922752e-03,-1.280000000000000027e+00,3.464142338348691231e-07,2.626219939053818737e-06,3.319803074250829427e-07
3.162277660168379394e-03,-1.280000000000000027e+00,5.999841309539399429e-07,2.557850336394208233e-06,5.749847921641925688e-07
5.623413251903490971e-03,-1.280000000000000027e+00,1.019731201631563808e-06,2.444674676484197604e-06,9.772424015635819564e-07
1.000000000000000021e-02,-1.280000000000000027e+00,1.681094366634976114e-06,2.266352496609066733e-06,1.611048768025185884e-06
2.000000000000000042e-02,-1.280000000000000027e+00,2.881876057088530784e-06,1.942587854236343398e-06,2.761797888043175740e-06
4.000000000000000777e-02,-1.280000000000000027e+00,4.482918311026604383e-06,1.510901664406044418e-06,4.296130048067162922e-06
6.000000000000001166e-02,-1.280000000000000027e+00,5.501763381714468515e-06,1.236192270877672494e-06,5.272523240809700334e-06
8.000000000000001554e-02,-1.280000000000000027e+00,6.207117661421452939e-06,1.046008844588799624e-06,5.948487758862225910e-06
1.000000000000000194e-01,-1.280000000000000027e+00,6.724377466539906151e-06,9.065409986436266510e-07,6.444195072100745230e-06
1.200000000000000233e-01,-1.280000000000000027e+00,7.119929082218722166e-06,7.998891164502590713e-07,6.823265370459609308e-06
1.400000000000000133e-01,-1.280000000000000027e+00,7.432206673544106575e-06,7.156902620870735269e-07,7.122531395479769260e-06
1.600000000000000033e-01,-1.280000000000000027e+00,7.685002818902748192e-06,6.475292847454478347e-07,7.364794368115134743e-06
1.800000000000000211e-01,-1.280000000000000027e+00,7.893834417242497420e-06,5.912223904197567693e-07,7.564924649857393149e-06
2.000000000000000111e-01,-1.280000000000000027e+00,8.069252959847887720e-06,5.439245991861759059e-07,7.733034086520893598e-06
2.999999999999999889e-01,-1.280000000000000027e+00,8.645628171265593622e-06,3.885175708472683832e-07,8.285393664129529339e-06
3.999999999999999667e-01,-1.280000000000000027e+00,8.965836622053208766e-06,3.021803328812087248e-07,8.592260096134325843e-06
5.000000000000000000e-01,-1.280000000000000027e+00,9.169605636190779728e-06,2.472384541755346471e-07,8.787538734682833326e-06
5.999999999999999778e-01,-1.280000000000000027e+00,9.310676492132176444e-06,2.092017689177601735e-07,8.922731638293335900e-06
6.999999999999999556e-01,-1.280000000000000027e+00,9.414128453155865900e-06,1.813081997287256108e-07,9.021873100941038578e-06
7.999999999999999334e-01,-1.280000000000000027e+00,9.493238776291631814e-06,1.599778232900517931e-07,9.097687160612815798e-06
8.999999999999999112e-01,-1.280000000000000027e+00,9.555694294556706155e-06,1.431380524174148960e-07,9.157540365616846433e-06
1.000000000000000000e+00,-1.280000000000000027e+00,9.606253523628435664e-06,1.295058569490896728e-07,9.205992960143918852e-06
0.000000000000000000e+00,-1.399999999999999911e+00,0.000000000000000000e+00,4.116315976996963090e-06,0.000000000000000000e+00
1.000000000000000048e-04,-1.399999999999999911e+00,4.231188640960067392e-08,4.108099777442079238e-06,3.212569153321533678e-08
1.778279410038922698e-04,-1.399999999999999911e+00,7.512565231355292472e-08,4.101727940313282092e-06,5.703984712695687893e-08
3.162277660168379394e-04,-1.399999999999999911e+00,1.332269358927549204e-07,4.090445726713528595e-06,1.011537846593139730e-07
5.623413251903490971e-04,-1.399999999999999911e+00,2.357615281904507778e-07,4.070535371891687587e-06,1.790041232557127374e-07
1.000000000000000021e-03,-1.399999999999999911e+00,4.156520606119596003e-07,4.035603899016630447e-06,3.155876756498213025e-07
1.778279410038922752e-03,-1.399999999999999911e+00,7.280354037825116419e-07,3.974944729622359780e-06,5.527676213904258530e-07
3.162277660168379394e-03,-1.399999999999999911e+00,1.260946134362285445e-06,3.871463148465793427e-06,9.573850279417358216e-07
5.623413251903490971e-03,-1.399999999999999911e+00,2.143100209569775436e-06,3.700164855359805458e-06,1.627168677636311952e-06
1.000000000000000021e-02,-1.399999999999999911e+00,3.533042515201656576e-06,3.430263314164136050e-06,2.682495243023480966e-06
2.000000000000000042e-02,-1.399999999999999911e+00,6.056644311774267812e-06,2.940225697854973636e-06,4.598563273754539040e-06
4.000000000000000777e-02,-1.399999999999999911e+00,9.421446707204416407e-06,2.286842209442757225e-06,7.153320648062617038e-06
6.000000000000001166e-02,-1.399999999999999911e+00,1.156268459520542198e-05,1.871052716816801251e-06,8.779075340804121680e-06
8.000000000000001554e-02,-1.399999999999999911e+00,1.304508005612919742e-05,1.583198452691139113e-06,9.904597820394394776e-06
1.000000000000000194e-01,-1.399999999999999911e+00,1.413217006080662800e-05,1.372105325665654081e-06,1.072998097209392556e-05
1.200000000000000233e-01,-1.399999999999999911e+00,1.496347418203054709e-05,1.210681169704989431e-06,1.136115632339356774e-05
1.400000000000000133e-01,-1.399999999999999911e+00,1.561976690931258911e-05,1.083241046578147936e-06,1.185945265336697258e-05
1.600000000000000033e-01,-1.399999999999999911e+00,1.615105149806471529e-05,9.800752326183248276e-07,1.226283539667877134e-05
1.800000000000000211e-01,-1.399999999999999911e+00,1.658993876703386257e-05,8.948512993471661377e-07,1.259606461941460576e-05
2.000000000000000111e-01,-1.399999999999999911e+00,1.695860407296795292e-05,8.232631953993924698e-07,1.287597716651271202e-05
2.999999999999999889e-01,-1.399999999999999911e+00,1.816993293532280767e-05,5.880451395709945154e-07,1.379568982126361881e-05
3.999999999999999667e-01,-1.399999999999999911e+00,1.884289341440883281e-05,4.573684418885512015e-07,1.430664129612523408e-05
5.000000000000000000e-01,-1.399999999999999911e+00,1.927114099200903495e-05,3.742105433633604301e-07,1.463179223467353500e-05
5.999999999999999778e-01,-1.399999999999999911e+00,1.956762008419379105e-05,3.166396905382281825e-07,1.485689673059158962e-05
6.999999999999999556e-01,-1.399999999999999911e+00,1.978503808512927615e-05,2.744210651331312821e-07,1.502197336093149680e-05
7.999999999999999334e-01,-1.399999999999999911e+00,1.995129890937406166e-05,2.421362339409979285e-07,1.514820843119142422e-05
8.999999999999999112e-01,-1.399999999999999911e+00,2.008255745483046736e-05,2.166482093156298467e-07,1.524786769718610349e-05
1.000000000000000000e+00,-1.399999999999999911e+00,2.018881437258089327e-05,1.960150465236651296e-07,1.532854424584846460e-05
0.000000000000000000e+00,-1.520000000000000018e+00,0.000000000000000000e+00,6.230296349101436088e-06,0.000000000000000000e+00
1.000000000000000048e-04,-1.520000000000000018e+00,8.783593950232360865e-08,6.217860627845744409e-06,5.270156370139417578e-08
1.778279410038922698e-04,-1.520000000000000018e+00,1.559545747454210343e-07,6.208216462086249889e-06,9.357274484725263119e-08
3.162277660168379394e-04,-1.520000000000000018e+00,2.765679829982887650e-07,6.191140140785082891e-06,1.659407897989732961e-07
5.623413251903490971e-04,-1.520000000000000018e+00,4.894212261454036327e-07,6.161004599284130663e-06,2.936527356872422008e-07
1.000000000000000021e-03,-1.520000000000000018e+00,8.628589351110614115e-07,6.108133675589642808e-06,5.177153610666368892e-07
1.778279410038922752e-03,-1.520000000000000018e+00,1.511340644639293550e-06,6.016322307432146919e-06,9.068043867835760667e-07
3.162277660168379394e-03,-1.520000000000000018e+00,2.617618777412950128e-06,5.859696596266660293e-06,1.570571266447770204e-06
5.623413251903490971e-03,-1.520000000000000018e+00,4.448896901757503645e-06,5.600426137898170906e-06,2.669338141054502526e-06
1.000000000000000021e-02,-1.520000000000000018e+00,7.334300948444021309e-06,5.191913624251196599e-06,4.400580569066414141e-06
2.000000000000000042e-02,-1.520000000000000018e+00,1.257308734018975251e-05,4.450211677929596722e-06,7.543852404113852692e-06
4.000000000000000777e-02,-1.520000000000000018e+00,1.955813586251739468e-05,3.461275749500797450e-06,1.173488151751043884e-05
6.000000000000001166e-02,-1.520000000000000018e+00,2.400316674036225741e-05,2.831952885955197606e-06,1.440190004421735614e-05
8.000000000000001554e-02,-1.520000000000000018e+00,2.708049580963947059e-05,2.396267826577474246e-06,1.624829748578368507e-05
1.000000000000000194e-01,-1.520000000000000018e+00,2.933720379377609201e-05,2.076765449700478131e-06,1.760232227626565995e-05
1.200000000000000233e-01,-1.520000000000000018e+00,3.106292166399820870e-05,1.832440102676893266e-06,1.863775299839892928e-05
1.400000000000000133e-01,-1.520000000000000018e+00,3.242533050891041000e-05,1.639551670816167024e-06,1.945519830534625074e-05
1.600000000000000033e-01,-1.520000000000000018e+00,3.352823290717267562e-05,1.483403892643199331e-06,2.011693974430360605e-05
1.800000000000000211e-01,-1.520000000000000018e+00,3.443932619269366498e-05,1.354412249804660516e-06,2.066359571561620509e-05
2.000000000000000111e-01,-1.520000000000000018e+00,3.520464455253130635e-05,1.246059269820286794e-06,2.112278673151878720e-05
2.999999999999999889e-01,-1.520000000000000018e+00,3.771926202056925922e-05,8.900423355859190479e-07,2.263155721234155553e-05
3.999999999999999667e-01,-1.520000000000000018e+00,3.911627172503478935e-05,6.922551499001591301e-07,2.346976303502087768e-05
5.000000000000000000e-01,-1.520000000000000018e+00,4.000527790060376122e-05,5.663905771910398176e-07,2.400316674036226080e-05
5.999999999999999778e-01,-1.520000000000000018e+00,4.062074371445919234e-05,4.792535653154954421e-07,2.437244622867552082e-05
6.999999999999999556e-01,-1.520000000000000018e+00,4.107208531128651391e-05,4.153530899400963039e-07,2.464325118677191445e-05
7.999999999999999334e-01,-1.520000000000000018e+00,4.141722888533094944e-05,3.664880205353786214e-07,2.485033733119857238e-05
8.999999999999999112e-01,-1.520000000000000018e+00,4.168971065431338428e-05,3.279103341632338071e-07,2.501382639258803667e-05
1.000000000000000000e+00,-1.520000000000000018e+00,4.191029113396584283e-05,2.966807785286401414e-07,2.514617468037950841e-05
