seed,loss
171,0.06235855719360247
82,0.06258505775231468
65,0.06717365009571649
197,0.06872263542890439
164,0.07101210127298141
61,0.07108852591988168
4,0.07126163418812692
196,0.07137107027692872
162,0.07148032403175605
155,0.07156212991009457
103,0.07160960101497704
126,0.07165547204610127
152,0.0719610480138394
175,0.07205777456924059
110,0.07212859279107511
76,0.07218809970171354
92,0.07242095773942132
40,0.07243412946880247
68,0.07257156613085305
193,0.07259344737686019
131,0.07259638102757646
184,0.07264683673310515
49,0.07273745097397827
57,0.0730771490760127
146,0.07323474682956468
1,0.07349852757071743
178,0.07377283417519705
180,0.07387785380834472
128,0.07403056255710218
15,0.07410977278982313
11,0.07416712431129345
22,0.07424705663885788
52,0.07427074165229709
6,0.07431245930629711
18,0.07433674224336778
119,0.07433868293317772
111,0.07436680095484079
125,0.07439003160601367
127,0.07443860015011743
166,0.0745043427520068
75,0.07461533196958053
93,0.07463913887338944
117,0.07476549423013235
187,0.074850273610215
33,0.07510854487108105
86,0.07518620019362977
87,0.0752041707400325
31,0.07523428816673294
169,0.07527947646229638
130,0.0753040054446998
115,0.07533936877457016
74,0.07546137565023396
83,0.07547179794005701
142,0.07555576454748847
25,0.07556592542301825
113,0.07557018642391602
97,0.07562999059407671
39,0.07566137979520336
99,0.07568590502238416
138,0.07583058883903823
64,0.075865020637663
198,0.07593869518905988
145,0.07594855949693147
38,0.07601338960880309
141,0.07604790221441356
85,0.07606770014398902
26,0.07608239887379746
176,0.076168492551007
20,0.07623042348820179
24,0.07626714622661732
23,0.07631556891568546
183,0.07665504410493472
9,0.07677590210141257
37,0.07694907829719634
190,0.07702387309880351
19,0.07716980909448053
107,0.07736215675873999
156,0.07754799235129817
114,0.07767750898887522
47,0.07769643467627774
78,0.07771354581548381
177,0.07772793827614344
173,0.07775629727773649
70,0.07779828311586402
161,0.07788343924372239
48,0.0778929802877324
43,0.07802981087429957
0,0.07812549003132228
136,0.07821346521189418
44,0.07821754923926733
188,0.07827188964604757
88,0.07828099263149517
172,0.0783115236184417
167,0.07840149775421106
148,0.07841208016138979
62,0.07844243869459115
102,0.07855147914063011
153,0.07856298824199248
181,0.07860146553911562
112,0.0786768464821402
58,0.07871992795499806
194,0.07877202129420799
160,0.07880867196416314
72,0.0789553696123748
8,0.07896602332516751
17,0.07901346821361885
60,0.07930652777894415
28,0.07967426724855073
89,0.07972053008425992
133,0.07981857893470233
53,0.07982702883382913
179,0.07986175041060803
174,0.07988362526649367
56,0.07994787466495928
108,0.08005552148981801
35,0.08007118791594924
7,0.08008220341292623
32,0.080223972518322
5,0.08038458462951652
55,0.0805470786263518
29,0.0806433505355573
79,0.08067344939994692
199,0.08069373992903721
21,0.08088756479062927
118,0.08094788858832927
81,0.08131563447798962
135,0.08132876164670709
36,0.08133561384699096
140,0.08151583016325811
34,0.08194808660740421
16,0.08209996237235676
168,0.0827567840655248
150,0.08282643073401777
42,0.08294402036210394
80,0.08302664168904253
100,0.0834559472226448
41,0.0834680389530813
59,0.08356445384980671
189,0.0837438173499728
84,0.08397908251017633
50,0.08408133686957171
96,0.08408169525002426
104,0.08411383255289934
27,0.08421240962487607
71,0.08423293514144706
54,0.08481743643051774
165,0.0848792039398429
101,0.0848893942491
182,0.0848954660344195
13,0.0852551317412006
124,0.08530338960840847
191,0.08536345594972235
143,0.08570844159761737
69,0.0860464709996493
195,0.08625014916513905
116,0.08629790574732973
137,0.08652562800627218
51,0.08658826729168138
77,0.08666656633601263
95,0.08675722289177067
170,0.08699809041479731
151,0.08709152089303601
46,0.08726786490259529
163,0.08734397131426275
147,0.08804348492575852
30,0.0882001390853423
123,0.08839495386158631
14,0.08853131641451649
66,0.08857907681521525
12,0.0885963202193311
185,0.088620867161123
122,0.08871554208045382
149,0.08897935692477489
186,0.08919104391365176
192,0.08927834259228108
94,0.09005176596158793
120,0.09025918396790165
129,0.09078734962969225
154,0.09098732955172262
139,0.09100590780363704
132,0.0912708406592313
158,0.09214839412633216
105,0.09225911345192607
63,0.09275677580389821
134,0.09280856790087769
10,0.09342543900532937
67,0.09358359990116376
3,0.09456096639338439
159,0.0947746096026662
157,0.09486853047055975
106,0.09510939898904963
45,0.09738912554996565
144,0.10311876388935456
98,0.15299027076519553
109,0.1969822291815029
90,0.20098858518924487
121,0.21715086146751272
73,0.22315525135950717
2,0.22334429448602175
91,2.3611488650434054
